Year,IMDb,Rotten_Tomatoes,Netflix,Hulu,Prime Video,Disney+
2006,7.2,64.0,1,1,0,0
2018,9.1,66.0,1,0,0,0
1991,7.4,68.0,0,1,0,0
2015,8.2,36.0,1,0,0,0
2018,6.8,43.0,1,0,0,0
2015,7.3,47.0,0,1,0,0
2004,8.0,58.0,0,0,0,1
2017,6.6,47.0,1,0,0,0
2019,6.6,40.0,1,0,0,0
2017,8.1,19.0,0,0,1,0
1997,8.2,86.0,0,1,1,0
2016,8.0,52.0,0,0,1,0
2018,7.0,46.0,1,0,0,0
2019,7.9,56.0,1,0,0,0
2018,8.2,52.0,0,0,1,0
2021,7.1,48.0,0,0,0,1
2017,7.0,14.0,0,0,1,0
2000,8.6,17.0,0,0,1,0
2018,6.6,58.0,0,1,0,0
2018,6.8,42.0,1,0,0,0
1998,6.6,57.0,0,0,0,1
2004,5.5,41.0,0,1,0,0
2019,8.4,77.0,1,0,0,0
2017,7.7,74.0,0,1,0,0
2018,7.0,51.0,1,0,0,0
2021,7.7,53.0,0,1,0,0
2014,6.5,32.0,0,0,1,0
2013,7.8,65.0,0,1,0,0
2018,8.3,14.0,0,1,0,0
2019,6.7,69.0,1,0,0,0
2013,8.0,88.0,1,0,0,0
2002,7.4,35.0,0,0,1,0
2006,7.0,57.0,0,1,0,0
2015,4.9,36.0,0,0,1,0
2005,7.4,32.0,0,0,1,0
2018,7.0,18.0,0,0,1,0
2018,6.8,30.0,0,0,1,0
2013,8.3,85.0,0,0,1,0
2018,7.7,71.0,1,0,0,0
2019,6.6,39.0,1,0,0,0
2015,7.6,46.0,0,0,1,0
2008,7.9,38.0,0,0,1,0
2015,7.9,82.0,0,0,0,1
2019,9.2,40.0,0,0,1,0
2021,8.2,58.0,1,0,0,0
2013,8.4,10.0,0,0,1,0
2019,7.3,50.0,0,0,0,1
2020,8.4,13.0,0,0,0,1
2020,7.0,34.0,1,0,0,0
2007,7.5,10.0,0,0,1,0
2017,8.0,16.0,0,1,0,0
2002,7.0,60.0,0,1,1,0
2017,6.8,68.0,1,0,0,0
2019,7.4,72.0,1,0,0,0
2014,8.3,51.0,0,0,0,1
2019,7.2,63.0,0,1,0,0
2018,6.0,41.0,1,0,0,0
2012,7.3,60.0,0,1,0,0
1996,6.8,62.0,0,1,0,0
2001,6.8,14.0,0,1,1,0
2018,7.2,31.0,0,0,1,0
1983,8.4,61.0,0,0,1,0
2004,7.1,46.0,0,0,1,0
2014,6.7,58.0,0,1,1,0
2015,7.9,76.0,1,0,0,0
2018,7.7,69.0,1,0,0,0
2015,7.1,55.0,1,0,0,0
2020,7.6,35.0,0,0,0,1
2016,7.7,17.0,0,1,0,0
2004,8.7,92.0,0,0,1,0
2015,8.0,34.0,0,0,0,1
2016,8.7,87.0,0,1,1,0
2001,6.8,67.0,0,1,0,0
2020,7.3,54.0,1,0,0,0
2015,8.2,60.0,0,1,0,0
2020,6.5,45.0,0,0,0,1
1994,6.3,40.0,0,0,1,0
2018,8.2,10.0,0,0,1,0
2013,7.9,55.0,0,1,0,0
2019,6.8,52.0,1,0,0,0
2015,6.4,48.0,1,0,0,0
2021,7.7,40.0,1,0,0,0
2010,6.8,10.0,0,0,1,0
2010,5.4,54.0,0,1,1,0
2018,7.2,61.0,1,0,0,0
2009,7.7,17.0,0,0,1,0
2009,7.6,53.0,0,1,0,0
2017,7.5,14.0,0,1,0,0
2017,6.5,10.0,0,0,1,0
2005,6.9,50.0,0,1,0,0
2004,7.3,43.0,0,0,1,0
2004,8.5,78.0,0,1,0,0
2017,8.4,43.0,0,0,1,0
1970,8.1,64.0,0,1,0,0
1967,7.5,56.0,0,1,0,0
2014,7.4,47.0,0,1,0,0
2018,7.1,16.0,0,1,0,0
2011,7.1,29.0,0,0,1,0
2018,7.7,38.0,0,1,0,0
2017,7.2,62.0,0,1,0,0
2017,5.5,29.0,0,1,0,0
2016,7.6,38.0,0,0,1,0
1957,7.3,38.0,0,0,1,0
2020,8.3,39.0,0,1,0,0
2019,7.8,52.0,1,0,0,0
1943,9.3,36.0,0,0,1,0
2011,7.4,28.0,0,1,0,0
2017,8.5,36.0,0,0,1,0
2018,7.1,43.0,1,0,0,0
2016,6.4,36.0,0,0,1,0
2016,5.7,42.0,0,0,0,1
2020,6.8,45.0,1,0,0,0
2016,8.8,34.0,0,0,1,0
2020,6.6,46.0,1,0,0,0
2020,7.7,47.0,1,0,0,0
2018,6.5,47.0,1,0,0,0
2019,7.3,62.0,1,0,0,0
2020,5.9,45.0,0,0,1,0
2019,7.6,70.0,1,0,0,0
2021,8.1,47.0,1,0,0,0
2019,6.5,44.0,1,0,0,0
2016,6.8,13.0,0,0,1,0
2009,8.7,63.0,1,0,0,0
2017,6.4,14.0,0,0,1,0
2017,7.4,13.0,0,0,1,0
2014,6.8,48.0,0,0,1,0
2015,8.2,38.0,0,0,1,0
2011,6.9,34.0,0,0,1,0
2018,6.7,41.0,1,0,0,0
2016,7.8,26.0,0,0,1,0
2017,7.3,45.0,0,0,1,0
2017,8.4,73.0,1,0,0,0
2017,6.0,45.0,1,0,0,0
2019,6.9,37.0,0,0,0,1
2020,8.1,70.0,1,0,0,0
1987,6.7,71.0,0,1,0,0
2019,8.0,76.0,0,0,1,0
2020,6.8,43.0,1,0,0,0
2019,6.3,44.0,0,0,0,1
2017,7.3,59.0,0,0,0,1
2020,7.5,45.0,1,0,0,0
2016,7.6,32.0,0,0,1,0
2001,7.3,38.0,0,0,1,0
2012,6.4,39.0,1,0,0,0
2017,7.7,57.0,1,0,0,0
2021,7.2,61.0,0,0,1,0
2015,7.3,52.0,1,0,1,0
2019,5.0,44.0,0,0,0,1
2010,7.7,10.0,0,0,1,0
2018,6.3,39.0,1,0,0,0
2011,7.4,48.0,0,0,1,0
2018,8.6,82.0,1,0,0,0
2017,7.5,70.0,0,1,0,0
2017,7.9,13.0,0,0,1,0
2018,3.6,43.0,1,0,0,0
1996,7.3,65.0,0,0,1,0
2010,4.5,35.0,0,0,1,0
2009,7.5,60.0,0,1,1,0
2001,6.6,13.0,0,0,1,0
2017,7.2,60.0,1,0,0,0
1954,7.4,54.0,0,0,1,0
2008,6.1,51.0,0,0,1,0
2016,7.9,52.0,1,0,0,0
2017,8.1,14.0,1,0,0,0
2019,6.8,57.0,0,1,0,0
1984,6.9,49.0,0,0,1,0
2012,6.5,50.0,1,0,1,0
2010,6.9,39.0,0,0,1,0
2019,7.8,44.0,1,0,0,0
1988,7.3,62.0,0,1,0,0
2009,6.6,48.0,1,0,0,0
2006,7.6,41.0,0,0,1,0
2015,8.4,51.0,0,0,0,1
2019,7.1,59.0,1,0,0,0
2020,6.5,54.0,1,0,0,0
2020,5.9,37.0,1,0,0,0
2003,7.3,40.0,0,1,1,0
2021,4.6,46.0,1,0,0,0
2021,5.2,48.0,0,1,0,0
2021,5.4,47.0,0,1,0,0
2017,6.2,10.0,0,0,1,0
2019,6.4,37.0,1,0,0,0
2005,5.3,40.0,0,1,1,0
1974,7.0,41.0,0,1,0,1
2020,5.5,40.0,1,0,0,0
1959,7.8,47.0,0,0,1,0
2017,7.3,54.0,1,0,0,0
1962,7.2,55.0,0,1,0,0
2012,6.0,55.0,0,0,1,0
2020,7.3,65.0,1,0,0,0
2018,6.5,14.0,0,0,1,0
2019,6.0,48.0,0,1,0,0
2020,5.6,37.0,0,0,1,0
2021,3.4,45.0,0,1,0,0
2013,7.8,48.0,0,1,0,0
2014,6.1,27.0,0,0,1,0
2016,7.1,33.0,1,0,0,0
2018,7.5,43.0,1,0,0,0
2019,7.3,18.0,0,1,0,0
2016,6.1,31.0,1,0,0,0
