Year,IMDb,Rotten_Tomatoes,Year.1,IMDb.1,Rotten_Tomatoes.1,Netflix,Hulu,Prime Video,Disney+
0.0854700854700854,0.7058823529411764,0.6666666666666666,12,7.1,70.0,0,1,0,0
0.0427350427350427,0.6235294117647059,0.4555555555555555,7,6.4,51.0,0,0,0,1
0.0085470085470085,0.7058823529411764,0.5333333333333333,3,7.1,58.0,1,0,0,0
0.0341880341880341,0.6470588235294117,0.4444444444444445,6,6.6,50.0,0,0,1,0
0.0683760683760683,0.6705882352941176,0.0666666666666666,10,6.8,16.0,1,0,0,0
0.1025641025641025,0.588235294117647,0.0,14,6.1,10.0,0,0,1,0
0.0512820512820512,0.788235294117647,0.5333333333333333,8,7.8,58.0,0,1,0,0
0.094017094017094,0.7647058823529411,0.4666666666666667,13,7.6,52.0,0,1,0,0
0.0769230769230769,0.6823529411764706,0.0777777777777777,11,6.9,17.0,1,0,0,0
0.017094017094017,0.7058823529411764,0.6333333333333333,4,7.1,67.0,1,0,0,0
0.0341880341880341,0.8823529411764706,0.0333333333333333,6,8.6,13.0,0,0,1,0
0.0,0.5529411764705883,0.6333333333333333,2,5.8,67.0,1,0,0,0
0.1111111111111111,0.6117647058823529,0.3666666666666667,15,6.3,43.0,0,0,1,0
0.017094017094017,0.8352941176470587,0.4888888888888889,4,8.2,54.0,1,0,0,0
0.2564102564102564,0.7529411764705882,0.3777777777777778,32,7.5,44.0,0,1,0,0
0.0427350427350427,0.4823529411764706,0.2444444444444444,7,5.2,32.0,1,0,0,0
0.017094017094017,0.3294117647058823,0.2555555555555556,4,3.9,33.0,1,0,0,0
0.0,0.6117647058823529,0.6444444444444444,2,6.3,68.0,0,1,0,0
0.0854700854700854,0.6470588235294117,0.4555555555555555,12,6.6,51.0,0,1,0,0
0.0085470085470085,0.7058823529411764,0.4222222222222222,3,7.1,48.0,1,0,0,0
0.0341880341880341,0.7058823529411764,0.0888888888888888,6,7.1,18.0,0,0,1,0
0.017094017094017,0.8,0.5444444444444444,4,7.9,59.0,1,0,0,0
0.0854700854700854,0.7529411764705882,0.5444444444444444,12,7.5,59.0,0,0,1,0
0.017094017094017,0.7764705882352941,0.6222222222222222,4,7.7,66.0,1,0,0,0
0.0085470085470085,0.6352941176470588,0.3333333333333333,3,6.5,40.0,1,0,0,0
0.0769230769230769,0.7647058823529411,0.0333333333333333,11,7.6,13.0,0,1,0,0
0.1623931623931624,0.2117647058823529,0.2555555555555556,21,2.9,33.0,0,1,0,0
0.1367521367521367,0.6,0.3666666666666667,18,6.2,43.0,0,1,0,0
0.1367521367521367,0.6352941176470588,0.6,18,6.5,64.0,0,0,0,1
0.1367521367521367,0.7529411764705882,0.8555555555555555,18,7.5,87.0,1,1,0,0
0.0085470085470085,0.6352941176470588,0.4888888888888889,3,6.5,54.0,1,0,0,0
0.0854700854700854,0.6588235294117647,0.3222222222222222,12,6.7,39.0,1,0,0,0
0.2820512820512821,0.4705882352941176,0.5,35,5.1,55.0,0,0,1,0
0.017094017094017,0.8,0.611111111111111,4,7.9,65.0,1,0,0,0
0.0256410256410256,0.6588235294117647,0.6,5,6.7,64.0,0,1,0,0
0.0085470085470085,0.6352941176470588,0.5222222222222221,3,6.5,57.0,0,0,1,0
0.1282051282051282,0.8705882352941177,0.8444444444444444,17,8.5,86.0,1,0,0,0
0.0085470085470085,0.8235294117647058,0.5555555555555556,3,8.1,60.0,1,0,0,0
0.0,0.7176470588235294,0.5333333333333333,2,7.2,58.0,0,1,0,0
0.0683760683760683,0.5058823529411766,0.4777777777777778,10,5.4,53.0,0,1,0,0
0.0683760683760683,0.6235294117647059,0.3555555555555555,10,6.4,42.0,0,1,0,0
0.094017094017094,0.7411764705882353,0.3111111111111111,13,7.4,38.0,0,0,1,0
0.0683760683760683,0.6705882352941176,0.4444444444444445,10,6.8,50.0,0,1,0,0
0.0341880341880341,0.7294117647058823,0.7555555555555555,6,7.3,78.0,1,0,0,0
0.0085470085470085,0.7529411764705882,0.3555555555555555,3,7.5,42.0,0,1,0,0
0.1025641025641025,0.6705882352941176,0.3333333333333333,14,6.8,40.0,0,0,1,0
0.0427350427350427,0.7294117647058823,0.3555555555555555,7,7.3,42.0,1,0,0,0
0.1965811965811966,0.7529411764705882,0.3111111111111111,25,7.5,38.0,0,0,1,0
0.0427350427350427,0.8470588235294119,0.0333333333333333,7,8.3,13.0,0,0,1,0
0.0427350427350427,0.6,0.0888888888888888,7,6.2,18.0,0,1,0,0
0.0085470085470085,0.8117647058823529,0.7999999999999999,3,8.0,82.0,0,0,1,0
0.0,0.8352941176470587,0.4111111111111111,2,8.2,47.0,0,0,0,1
0.1367521367521367,0.8705882352941177,0.6666666666666666,18,8.5,70.0,0,1,1,0
0.0085470085470085,0.6941176470588235,0.4555555555555555,3,7.0,51.0,1,0,0,0
0.017094017094017,0.5529411764705883,0.4111111111111111,4,5.8,47.0,1,0,0,0
0.094017094017094,0.8470588235294119,0.5777777777777777,13,8.3,62.0,1,0,0,0
0.0341880341880341,0.8470588235294119,0.0444444444444444,6,8.3,14.0,0,0,1,0
0.0341880341880341,0.7176470588235294,0.1111111111111111,6,7.2,20.0,0,0,1,0
0.0512820512820512,0.8705882352941177,0.8888888888888888,8,8.5,90.0,0,0,1,0
0.0085470085470085,0.7176470588235294,0.3555555555555555,3,7.2,42.0,0,0,0,1
0.0769230769230769,0.3176470588235294,0.2777777777777778,11,3.8,35.0,0,0,1,0
0.0427350427350427,0.7647058823529411,0.0333333333333333,7,7.6,13.0,0,0,1,0
0.0256410256410256,0.7294117647058823,0.5333333333333333,5,7.3,58.0,0,1,0,0
0.0256410256410256,0.8235294117647058,0.6555555555555556,5,8.1,69.0,1,0,0,0
0.0085470085470085,0.6352941176470588,0.2888888888888889,3,6.5,36.0,1,0,0,0
0.0341880341880341,0.9647058823529412,0.4666666666666667,6,9.3,52.0,0,0,1,0
0.1965811965811966,0.7764705882352941,0.0444444444444444,25,7.7,14.0,0,0,1,0
0.0341880341880341,0.6352941176470588,0.7,6,6.5,73.0,1,0,0,0
