Year,Age,IMDb,Rotten_Tomatoes,Netflix,Hulu,Prime Video,Disney+,Age_na
2016,all,6.3,31.0,1,0,0,0,0
2018,,5.2,40.0,1,0,0,0,1
2003,,7.9,14.0,0,0,1,0,1
2015,,7.7,17.0,0,0,1,0,1
2017,all,8.1,45.0,1,0,0,0,0
2021,,7.6,59.0,1,0,0,0,1
2001,all,8.3,53.0,0,1,0,0,0
2016,,8.0,51.0,1,0,0,0,1
2010,16+,8.0,55.0,0,1,0,0,0
2010,all,5.7,44.0,0,0,1,0,0
2020,all,7.3,54.0,0,0,0,1,0
2019,16+,6.4,59.0,1,0,0,0,0
2014,,5.5,13.0,0,0,1,0,1
2017,18+,7.4,68.0,0,1,0,0,0
1988,7+,8.6,64.0,0,0,1,0,0
2019,18+,6.3,55.0,1,0,0,0,0
2005,16+,8.3,87.0,0,1,1,0,0
2017,all,7.4,35.0,1,0,0,0,0
2017,,6.6,29.0,0,0,1,0,1
2018,16+,5.1,50.0,0,1,0,0,0
2009,7+,8.6,62.0,0,1,0,0,0
2017,,7.7,13.0,0,0,1,0,1
2010,,6.2,10.0,0,0,1,0,1
2011,all,6.7,39.0,1,0,0,0,0
2020,16+,7.4,67.0,1,0,1,0,0
2020,18+,7.3,72.0,1,0,0,0,0
2020,,5.2,37.0,0,0,1,0,1
2018,,8.5,46.0,1,0,0,0,1
2017,,7.9,29.0,0,0,1,0,1
2010,16+,7.7,42.0,0,0,1,0,0
2011,7+,8.4,49.0,0,0,1,0,0
2015,7+,8.6,36.0,0,0,0,1,0
2018,,8.2,53.0,1,0,0,0,1
2018,16+,7.5,41.0,1,0,0,0,0
2017,18+,8.2,77.0,1,0,0,0,0
2015,18+,7.6,65.0,0,1,0,0,0
2021,7+,6.0,60.0,0,0,0,1,0
2016,18+,7.4,72.0,1,0,0,0,0
1997,16+,6.8,68.0,0,1,0,0,0
2017,,6.4,18.0,0,0,1,0,1
2014,18+,7.8,68.0,0,1,0,0,0
2017,16+,6.8,81.0,1,1,0,0,0
2016,16+,7.6,55.0,1,0,0,0,0
2009,all,5.8,32.0,0,0,1,0,0
2013,7+,5.4,59.0,0,1,0,0,0
2014,,8.2,10.0,0,0,1,0,1
2020,,8.6,63.0,1,0,0,0,1
2010,,6.3,36.0,1,0,0,0,1
2019,16+,6.3,60.0,0,0,1,0,0
2019,,7.8,44.0,1,1,0,0,1
2001,16+,7.6,80.0,0,0,1,0,0
2018,,8.1,18.0,1,0,0,0,1
2016,16+,8.0,42.0,1,0,0,0,0
2020,,6.4,39.0,1,0,0,0,1
2018,,8.4,10.0,0,0,0,1,1
2005,,6.5,13.0,0,0,1,0,1
2015,16+,8.0,80.0,1,0,0,0,0
2020,7+,6.7,52.0,1,0,0,0,0
2014,,6.7,13.0,0,1,0,0,1
2012,,5.5,10.0,0,1,0,0,1
2019,,7.0,45.0,0,1,0,0,1
2017,,7.0,35.0,0,0,0,1,1
2016,18+,7.1,60.0,1,0,0,0,0
2006,all,6.2,36.0,0,0,1,0,0
2015,,6.7,44.0,1,0,0,0,1
2021,,5.8,41.0,1,0,0,0,1
2017,16+,6.9,61.0,1,0,0,0,0
2021,,6.2,52.0,0,0,1,0,1
2018,,6.7,53.0,1,0,0,0,1
1971,7+,7.6,57.0,0,1,0,0,0
2019,16+,7.7,77.0,0,1,0,0,0
2020,,7.1,50.0,1,0,0,0,1
2021,,3.6,39.0,0,1,0,0,1
2016,,7.5,10.0,0,0,1,0,1
2000,18+,9.1,52.0,1,0,0,0,0
2007,16+,7.3,65.0,0,1,0,0,0
2012,all,7.1,41.0,1,0,0,0,0
2006,7+,7.7,57.0,0,1,0,0,0
2018,,7.3,69.0,0,0,1,0,1
2020,18+,7.6,78.0,1,0,0,0,0
2013,,7.2,16.0,0,1,1,0,1
2020,16+,7.4,69.0,1,0,0,0,0
2019,7+,7.8,45.0,1,0,0,0,0
2017,,8.1,10.0,0,0,1,0,1
2017,,8.4,63.0,0,1,0,1,1
2016,all,8.5,39.0,1,0,0,0,0
2014,,4.4,27.0,0,0,1,0,1
2013,16+,7.7,72.0,0,1,0,0,0
2017,,6.3,30.0,0,0,1,0,1
2010,7+,7.3,56.0,1,0,0,0,0
2014,,7.1,10.0,0,0,1,0,1
2019,all,6.8,45.0,1,0,0,0,0
2019,18+,8.3,58.0,0,0,1,0,0
1998,all,4.0,49.0,0,1,1,0,0
1996,7+,6.5,50.0,0,0,0,1,0
2021,7+,6.8,52.0,1,0,0,0,0
2010,all,7.5,33.0,0,0,1,0,0
2020,,7.8,49.0,1,0,0,0,1
2009,7+,7.2,65.0,1,1,1,0,0
2018,16+,7.7,69.0,0,1,0,0,0
2014,7+,4.8,38.0,0,0,0,1,0
2016,16+,7.5,73.0,1,0,0,0,0
2008,16+,5.0,55.0,0,1,0,0,0
2012,,8.4,39.0,0,0,1,0,1
2015,all,4.6,40.0,1,0,0,1,0
2014,7+,8.0,79.0,0,0,0,1,0
2018,,7.0,14.0,0,1,1,0,1
2012,,8.6,42.0,0,1,1,0,1
1995,all,7.7,63.0,1,0,0,0,0
1985,,6.3,37.0,0,0,1,0,1
2019,7+,6.2,41.0,1,0,0,0,0
2018,,8.3,10.0,0,0,1,0,1
2013,16+,5.7,36.0,0,0,1,0,0
2013,,7.0,35.0,0,0,1,0,1
2012,,7.0,13.0,0,1,0,0,1
2009,16+,7.6,55.0,0,1,0,0,0
2019,7+,8.1,67.0,1,0,1,0,0
2019,,8.4,19.0,0,1,0,0,1
2013,,7.4,42.0,0,0,1,0,1
2015,,8.0,50.0,0,0,0,1,1
2014,16+,8.0,73.0,1,0,0,0,0
2017,,8.4,10.0,0,0,1,0,1
2016,all,5.8,33.0,0,0,1,0,0
2009,all,7.8,58.0,0,1,0,0,0
2018,18+,8.3,62.0,1,0,0,0,0
2014,16+,7.5,46.0,0,1,0,0,0
2015,,7.5,13.0,0,1,0,0,1
2016,7+,7.6,57.0,0,1,0,0,0
2001,7+,5.6,56.0,0,1,0,0,0
2007,,8.0,14.0,0,0,1,0,1
2008,16+,7.7,70.0,0,1,1,0,0
2016,16+,7.7,48.0,1,0,0,0,0
2014,all,6.3,42.0,0,0,1,0,0
2006,18+,8.0,65.0,0,1,0,0,0
2011,,6.8,14.0,1,0,0,0,1
1990,7+,7.2,61.0,0,1,0,0,0
2014,16+,7.5,58.0,0,1,0,0,0
2015,16+,6.2,77.0,1,0,0,0,0
2016,,7.7,16.0,0,0,1,0,1
2017,,8.2,10.0,0,0,1,0,1
2019,18+,7.4,67.0,0,0,1,0,0
2017,,6.8,13.0,0,0,1,0,1
2017,,7.7,13.0,0,1,0,0,1
1993,7+,6.5,63.0,1,0,1,0,0
2019,all,6.6,34.0,1,0,0,0,0
2011,,7.5,28.0,0,1,0,0,1
2014,16+,8.7,77.0,1,1,0,0,0
2015,all,7.2,44.0,1,0,0,0,0
2021,,5.1,43.0,1,0,0,0,1
2019,,7.8,47.0,0,0,0,1,1
2018,,4.5,38.0,0,1,0,0,1
2020,7+,6.2,42.0,1,0,0,0,0
2017,,6.7,40.0,0,1,1,0,1
2011,,6.5,26.0,0,1,0,0,1
2006,16+,7.9,81.0,0,0,1,0,0
2017,7+,4.1,40.0,1,0,0,0,0
2017,,7.1,10.0,0,0,1,0,1
2006,16+,8.1,64.0,0,0,1,0,0
1985,7+,7.9,67.0,0,1,0,0,0
2018,,7.6,21.0,0,0,1,0,1
2011,18+,8.3,64.0,1,0,0,0,0
2018,7+,5.5,60.0,1,0,0,0,0
2016,all,7.1,38.0,0,1,0,0,0
2019,18+,4.6,53.0,1,0,0,0,0
2000,16+,7.9,69.0,1,1,0,0,0
1992,all,3.9,52.0,1,0,1,0,0
2013,18+,8.2,69.0,0,1,0,0,0
2017,18+,7.3,62.0,0,0,1,0,0
2006,,6.4,44.0,0,0,1,0,1
2019,18+,7.5,55.0,1,0,0,0,0
2013,18+,6.9,59.0,0,1,0,0,0
2017,,5.7,31.0,0,0,1,0,1
2012,16+,8.0,50.0,0,0,1,0,0
2016,7+,5.5,40.0,1,0,0,0,0
2019,18+,7.1,50.0,1,0,0,0,0
2016,all,7.0,46.0,1,0,0,0,0
2011,16+,4.4,44.0,1,0,1,0,0
2009,16+,4.0,49.0,0,1,0,0,0
2009,7+,8.0,55.0,0,1,0,0,0
2018,,7.8,54.0,1,0,0,0,1
2020,,9.3,25.0,1,1,0,0,1
2021,7+,6.6,52.0,0,0,0,1,0
2016,,7.4,10.0,0,0,1,0,1
2007,,5.9,48.0,0,1,0,0,1
2021,,7.1,53.0,1,0,0,0,1
