Year,IMDb,Rotten_Tomatoes,Netflix,Hulu,Prime Video,Disney+
18,7.4,32.0,0,0,1,0
5,7.0,18.0,0,0,1,0
5,6.8,30.0,0,0,1,0
10,8.3,85.0,0,0,1,0
5,7.7,71.0,1,0,0,0
4,6.6,39.0,1,0,0,0
8,7.6,46.0,0,0,1,0
15,7.9,38.0,0,0,1,0
8,7.9,82.0,0,0,0,1
4,9.2,40.0,0,0,1,0
2,8.2,58.0,1,0,0,0
10,8.4,10.0,0,0,1,0
4,7.3,50.0,0,0,0,1
3,8.4,13.0,0,0,0,1
3,7.0,34.0,1,0,0,0
16,7.5,10.0,0,0,1,0
6,8.0,16.0,0,1,0,0
21,7.0,60.0,0,1,1,0
6,6.8,68.0,1,0,0,0
4,7.4,72.0,1,0,0,0
9,8.3,51.0,0,0,0,1
4,7.2,63.0,0,1,0,0
5,6.0,41.0,1,0,0,0
11,7.3,60.0,0,1,0,0
27,6.8,62.0,0,1,0,0
22,6.8,14.0,0,1,1,0
5,7.2,31.0,0,0,1,0
40,8.4,61.0,0,0,1,0
19,7.1,46.0,0,0,1,0
9,6.7,58.0,0,1,1,0
8,7.9,76.0,1,0,0,0
5,7.7,69.0,1,0,0,0
8,7.1,55.0,1,0,0,0
3,7.6,35.0,0,0,0,1
7,7.7,17.0,0,1,0,0
19,8.7,92.0,0,0,1,0
8,8.0,34.0,0,0,0,1
7,8.7,87.0,0,1,1,0
22,6.8,67.0,0,1,0,0
3,7.3,54.0,1,0,0,0
8,8.2,60.0,0,1,0,0
3,6.5,45.0,0,0,0,1
29,6.3,40.0,0,0,1,0
5,8.2,10.0,0,0,1,0
10,7.9,55.0,0,1,0,0
4,6.8,52.0,1,0,0,0
8,6.4,48.0,1,0,0,0
2,7.7,40.0,1,0,0,0
13,6.8,10.0,0,0,1,0
13,5.4,54.0,0,1,1,0
5,7.2,61.0,1,0,0,0
14,7.7,17.0,0,0,1,0
14,7.6,53.0,0,1,0,0
6,7.5,14.0,0,1,0,0
6,6.5,10.0,0,0,1,0
